height,pressure,temp,tdew
m,hPa,K,K
6954.10,430.30,249.12,217.83
6966.00,429.60,249.04,217.24
6978.20,428.88,248.93,217.17
6990.70,428.14,248.81,217.76
7004.30,427.35,248.72,218.45
7018.10,426.54,248.60,218.79
7031.10,425.78,248.50,219.04
7043.90,425.03,248.40,219.46
7056.40,424.30,248.29,219.56
7070.50,423.48,248.17,219.27
7085.00,422.63,248.06,217.93
7098.00,421.88,247.97,216.10
7110.70,421.14,247.86,215.02
7124.60,420.33,247.73,215.12
7139.40,419.47,247.61,215.87
7155.60,418.54,247.49,216.54
7168.70,417.78,247.38,216.66
7178.30,417.23,247.32,216.43
7187.50,416.70,247.22,216.14
7197.30,416.13,247.12,215.88
7208.50,415.49,247.02,215.63
7220.70,414.79,246.89,215.52
7234.00,414.03,246.74,215.75
7248.40,413.20,246.62,216.35
7262.90,412.37,246.51,217.24
7278.20,411.50,246.40,217.84
7292.70,410.67,246.32,217.48
7303.20,410.08,246.26,216.78
7312.10,409.57,246.19,216.39
7322.90,408.95,246.11,216.30
7335.10,408.26,245.98,216.22
7349.10,407.47,245.85,216.01
7363.20,406.67,245.71,215.70
7376.20,405.94,245.59,215.42
7387.90,405.28,245.49,215.20
7399.80,404.60,245.39,214.88
7412.60,403.89,245.29,214.52
7425.10,403.18,245.19,214.33
7437.70,402.47,245.12,214.32
7451.40,401.71,245.05,214.31
7465.40,400.93,244.96,214.27
7479.10,400.16,244.85,214.18
7492.80,399.40,244.76,213.80
7506.00,398.66,244.66,213.37
7518.60,397.96,244.57,213.12
7531.00,397.27,244.49,212.99
7542.20,396.65,244.41,212.95
7553.30,396.03,244.33,212.81
7565.50,395.36,244.24,212.64
7577.30,394.70,244.18,212.46
7589.50,394.03,244.10,212.23
7602.60,393.31,243.98,211.93
7616.70,392.53,243.91,211.58
7632.80,391.65,243.78,211.16
7649.60,390.73,243.65,210.64
7665.20,389.88,243.56,210.08
7679.80,389.08,243.46,209.56
7694.20,388.29,243.35,208.90
7707.10,387.59,243.28,208.18
7717.30,387.04,243.21,207.74
7725.30,386.60,243.15,207.49
7733.50,386.16,243.10,207.24
7742.30,385.68,243.04,206.94
7751.70,385.17,242.93,206.63
7761.50,384.64,242.86,206.49
7770.70,384.14,242.80,206.44
7779.80,383.65,242.70,206.34
7789.70,383.11,242.62,206.33
7799.90,382.57,242.56,206.39
7809.70,382.04,242.46,206.38
7820.70,381.45,242.36,206.32
7833.90,380.74,242.27,206.28
7847.30,380.02,242.14,206.29
7859.20,379.38,242.04,206.39
7872.00,378.69,241.95,206.65
7886.10,377.94,241.83,206.97
7898.70,377.27,241.70,207.25
7910.00,376.67,241.62,207.56
7923.60,375.94,241.49,207.90
7936.00,375.29,241.38,208.15
7947.10,374.70,241.28,208.40
7959.90,374.02,241.16,208.73
7973.40,373.30,241.04,209.14
7986.00,372.64,240.93,209.40
7999.10,371.94,240.80,209.67
8012.90,371.21,240.68,210.13
8027.00,370.47,240.56,210.59
8039.90,369.79,240.45,210.94
8051.70,369.18,240.35,210.99
8063.20,368.57,240.22,210.70
8075.70,367.92,240.09,210.21
8087.60,367.30,239.99,209.89
8098.80,366.71,239.89,210.02
8110.90,366.08,239.79,210.54
8123.00,365.45,239.67,211.25
8135.40,364.80,239.56,212.00
